epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3412,1.13512,3.43241,1.45828,0.00167,0.39286,0.07538,0.0408,1.3967,3.88385,1.72217,0.00012,0.00012,0.08812
2,49.3624,1.05024,2.42519,1.37594,0.00147,0.40231,0.06286,0.03307,1.5639,3.76609,1.75851,0.000249939,0.000249939,0.0752499
3,60.1064,1.03226,2.1774,1.32426,0.00194,0.55357,0.13345,0.08482,1.22274,3.39564,1.55411,0.000379629,0.000379629,0.0623796
4,70.0049,1.01761,2.02917,1.35885,0.45209,0.2794,0.27121,0.18989,1.06985,2.99031,1.39659,0.00050888,0.00050888,0.0495089
5,79.2383,1.03157,1.88285,1.33625,0.62416,0.23218,0.36878,0.27646,1.10927,2.46071,1.33397,0.000637502,0.000637502,0.0366375
6,89.3284,1.02772,1.76832,1.33287,0.73321,0.31706,0.57459,0.381,1.09475,2.14362,1.4116,0.000765307,0.000765307,0.0237653
7,99.5454,0.97983,1.71725,1.30562,0.84907,0.30965,0.47381,0.34274,0.96974,1.97535,1.26898,0.000892109,0.000892109,0.0108921
8,109.049,0.96135,1.66911,1.2856,0.72305,0.29645,0.55394,0.3923,1.00547,1.9485,1.31374,0.000988079,0.000988079,0.000988079
9,119.642,0.98504,1.61933,1.32676,0.77208,0.53979,0.65223,0.45595,1.08355,1.7551,1.37558,0.000984449,0.000984449,0.000984449
10,129.826,0.90977,1.41705,1.23434,0.46049,0.63517,0.6353,0.4866,0.82993,1.69801,1.14509,0.000980345,0.000980345,0.000980345
11,140.832,0.94353,1.49116,1.27534,0.56582,0.48274,0.67378,0.49672,1.04111,1.69772,1.39509,0.000975773,0.000975773,0.000975773
12,152.225,0.93191,1.37955,1.26426,0.46449,0.62841,0.73022,0.52622,0.85783,2.28066,1.1593,0.000970736,0.000970736,0.000970736
